Country,Location,CrossName,Genotype,Rep,YLD,TGW,Heading,Height
CHINA,Beijin,CMH79A.955/4/AGA/3/4*SN64/CNO67//INIA66/5/NAC/6/RIALTO,21,2,5.516666667,32,63,64
CHINA,Beijin,CNDO/R143//ENTE/MEXI_2/3/AEGILOPS SQUARROSA (TAUS)/4/OCI/5/PASTOR/6/TEMPORALERA M 87/ROMO96,22,1,4.470833333,36,56,65
CHINA,Beijin,CNDO/R143//ENTE/MEXI_2/3/AEGILOPS SQUARROSA (TAUS)/4/OCI/5/PASTOR/6/TEMPORALERA M 87/ROMO96,22,2,4.833333333,32,59,74
CHINA,Beijin,CNDO/R143//ENTE/MEXI_2/3/AEGILOPS SQUARROSA (TAUS)/4/WEAVER/5/2*KAUZ,23,1,5.479166667,30,58,63
CHINA,Beijin,CNDO/R143//ENTE/MEXI_2/3/AEGILOPS SQUARROSA (TAUS)/4/WEAVER/5/2*KAUZ,23,2,4.775,26,57,68
CHINA,Beijin,CNO79//PF70354/MUS/3/PASTOR/4/BAV92*2/5/FH6-1-7,24,1,4.733333333,33,57,65
CHINA,Beijin,CNO79//PF70354/MUS/3/PASTOR/4/BAV92*2/5/FH6-1-7,24,2,5.591666667,34,57,76
CHINA,Beijin,CROC_1/AE.SQUARROSA (205)//BORL95/3/PRL/SARA//TSI/VEE#5/4/FRET2,25,1,5.3125,32,56,64
CHINA,Beijin,CROC_1/AE.SQUARROSA (205)//BORL95/3/PRL/SARA//TSI/VEE#5/4/FRET2,25,2,5.325,27,56,70
CHINA,Beijin,GK ARON/AG SECO 7846//2180/4/2*MILAN/KAUZ//PRINIA/3/BAV92,26,1,6.7,37,57,72
CHINA,Beijin,GK ARON/AG SECO 7846//2180/4/2*MILAN/KAUZ//PRINIA/3/BAV92,26,2,5.679166667,34,57,76
CHINA,Beijin,KFA/3/PFAU/WEAVER//BRAMBLING/4/PFAU/WEAVER*2//BRAMBLING,27,1,4.35,37,57,60
CHINA,Beijin,KFA/3/PFAU/WEAVER//BRAMBLING/4/PFAU/WEAVER*2//BRAMBLING,27,2,5.208333333,37,57,65
CHINA,Beijin,KINGBIRD #1//INQALAB 91*2/TUKURU,28,1,5.454166667,27,58,70
CHINA,Beijin,KINGBIRD #1//INQALAB 91*2/TUKURU,28,2,5.125,25,59,65
CHINA,Beijin,MEX94.27.1.20/3/SOKOLL//ATTILA/3*BCN,29,1,5.025,46,58,70
CHINA,Beijin,MEX94.27.1.20/3/SOKOLL//ATTILA/3*BCN,29,2,7.075,42,57,77
CHINA,Beijin,MILAN/KAUZ//PRINIA/3/BAV92,30,1,4.975,39,57,63
CHINA,Beijin,MILAN/KAUZ//PRINIA/3/BAV92,30,2,5.095833333,36,56,74
CHINA,Beijin,MISR 1,31,1,4.9125,34,57,62
CHINA,Beijin,MISR 1,31,2,4.795833333,33,57,70
CHINA,Beijin,MUNAL #1,32,1,5.554166667,34,61,70
CHINA,Beijin,MUNAL #1,32,2,5.633333333,30,58,71
CHINA,Beijin,OASIS/5*BORL95/5/CNDO/R143//ENTE/MEXI75/3/AE.SQ/4/2*OCI,33,1,4.708333333,36,56,60
CHINA,Beijin,OASIS/5*BORL95/5/CNDO/R143//ENTE/MEXI75/3/AE.SQ/4/2*OCI,33,2,5.566666667,35,56,68
CHINA,Beijin,OASIS/SKAUZ//4*BCN/3/2*PASTOR/5/FRET2*2/4/SNI/TRAP#1/3/KAUZ*2/TRAP//KAUZ/6/SAUAL #1,34,1,5.529166667,35,57,66
CHINA,Beijin,OASIS/SKAUZ//4*BCN/3/2*PASTOR/5/FRET2*2/4/SNI/TRAP#1/3/KAUZ*2/TRAP//KAUZ/6/SAUAL #1,34,2,4.554166667,30,58,70
CHINA,Beijin,PANDORA//WBLL1*2/BRAMBLING,35,1,5.941666667,33,58,70
CHINA,Beijin,PANDORA//WBLL1*2/BRAMBLING,35,2,4.991666667,33,59,74
CHINA,Beijin,PASTOR/3/URES/JUN//KAUZ/4/WBLL1,36,1,5.629166667,36,56,68
CHINA,Beijin,PASTOR/3/URES/JUN//KAUZ/4/WBLL1,36,2,5.7375,37,57,70
CHINA,Beijin,PAVON F 76,37,1,5.516666667,32,57,73
CHINA,Beijin,PAVON F 76,37,2,5.704166667,31,57,70
CHINA,Beijin,PBW343*2/KUKUNA*2//FRTL/PIFED,38,1,5.379166667,33,57,70
CHINA,Beijin,PBW343*2/KUKUNA*2//FRTL/PIFED,38,2,5.1,28,57,70
CHINA,Beijin,PFAU/SERI.1B//AMAD/3/WAXWING,39,1,5.429166667,36,55,67
CHINA,Beijin,PFAU/SERI.1B//AMAD/3/WAXWING,39,2,4.916666667,32,55,62
CHINA,Beijin,QUAIU #3//MILAN/AMSEL,40,1,6.466666667,30,58,75
CHINA,Beijin,QUAIU #3//MILAN/AMSEL,40,2,6.145833333,31,58,72
CHINA,Beijin,RL6043/4*NAC//2*PASTOR,41,1,4.916666667,31,57,73
CHINA,Beijin,RL6043/4*NAC//2*PASTOR,41,2,5.154166667,32,57,70
CHINA,Beijin,ROLF07*2/5/REH/HARE//2*BCN/3/CROC_1/AE.SQUARROSA (213)//PGO/4/HUITES,42,1,5.054166667,28,57,73
CHINA,Beijin,ROLF07*2/5/REH/HARE//2*BCN/3/CROC_1/AE.SQUARROSA (213)//PGO/4/HUITES,42,2,5.570833333,33,57,74
CHINA,Beijin,SAUAL/4/CROC_1/AE.SQUARROSA (205)//KAUZ/3/ATTILA/5/SAUAL,43,1,6.5375,33,62,78
CHINA,Beijin,SAUAL/4/CROC_1/AE.SQUARROSA (205)//KAUZ/3/ATTILA/5/SAUAL,43,2,6.7,37,61,74
CHINA,Beijin,SAUAL/WHEAR//SAUAL,44,1,5.045833333,32,57,63
CHINA,Beijin,SAUAL/WHEAR//SAUAL,44,2,4.633333333,34,57,66
CHINA,Beijin,SERI M 82,45,1,3.916666667,27,56,63
CHINA,Beijin,SERI M 82,45,2,4.708333333,29,57,64
CHINA,Beijin,SIETE CERROS T66,46,1,4.441666667,28,56,64
CHINA,Beijin,SIETE CERROS T66,46,2,4.645833333,30,56,56
CHINA,Beijin,SOKOLL*2/3/BABAX/LR42//BABAX,47,1,4.879166667,29,57,72
CHINA,Beijin,SOKOLL*2/3/BABAX/LR42//BABAX,47,2,5.541666667,29,57,70
CHINA,Beijin,SOKOLL//PBW343*2/KUKUNA/3/ATTILA/PASTOR,48,1,5.441666667,34,57,74
CHINA,Beijin,SOKOLL//PBW343*2/KUKUNA/3/ATTILA/PASTOR,48,2,5.4125,35,57,70
CHINA,Beijin,TACUPETO F2001/BRAMBLING*2//KACHU,49,1,4.55,35,58,74
CHINA,Beijin,TACUPETO F2001/BRAMBLING*2//KACHU,49,2,5.041666667,39,57,71
CHINA,Beijin,TACUPETO F2001/SAUAL/4/BABAX/LR42//BABAX*2/3/KURUKU,50,1,4.866666667,34,57,78
CHINA,Beijin,TACUPETO F2001/SAUAL/4/BABAX/LR42//BABAX*2/3/KURUKU,50,2,6.466666667,38,57,76
CHINA,Beijin,TC870344/GUI//TEMPORALERA M 87/AGR/3/2*WBLL1,51,1,5.070833333,38,57,78
CHINA,Beijin,TC870344/GUI//TEMPORALERA M 87/AGR/3/2*WBLL1,51,2,5.204166667,40,58,72
